STATION_NAME,LAT,LON,Annual,0
ROBE-COMPARISON,-37.16,139.76,19.07,188.95474358974363
ROCKHAMPTON-AERO,-23.38,150.48,29.6,236.24166666666673
RUTHERGLEN-RESEARCH,-36.1,146.51,22.64,203.60307692307683
SCONE-AIRPORT-AWS,-32.03,150.83,24.91,206.42897435897433
SNOWTOWN-RAYVILLE-PARK,-33.77,138.22,24.45,222.78128205128198
ST-GEORGE-AIRPORT,-28.05,148.59,28.61,243.49833333333328
SYDNEY-OBSERVATORY-HILL,-33.86,151.21,23.29,195.11320512820507
TARCOOLA-AERO,-30.71,134.58,28,241.6348717948718
TENNANT-CREEK-AIRPORT,-19.64,134.18,32.94,267.45576923076925
THARGOMINDAH-AIRPORT,-27.99,143.81,30.05,254.66551282051267
TIBOOBURRA-POST-OFFICE,-29.43,142.01,28.57,252.15897435897438
TOWNSVILLE-AERO,-19.25,146.77,30.15,240.03448717948712
VICTORIA-RIVER-DOWNS,-16.4,131.01,35.69,260.966282051282
WAGGA-WAGGA-AMO,-35.16,147.46,23.18,210.08141025641032
WALGETT-AIRPORT-AWS,-30.04,148.12,28.36,235.60051282051282
WANDERING,-32.67,116.67,24.2,226.28371794871796
WEIPA-AERO,-12.68,141.92,33.37,234.94999999999993
WILCANNIA-REID-ST,-31.56,143.37,27.37,240.45653846153846
WILLIAMTOWN-RAAF,-32.79,151.84,24.13,200.36358974358973
WILSONS-PROMONTORY-LIGHTHOUSE,-39.13,146.42,17.2,183.60974358974363
WITTENOOM,-22.24,118.34,34.65,265.6950000000001
WOOMERA-AERODROME,-31.16,136.81,26.85,233.30282051282046
WYALONG-POST-OFFICE,-33.93,147.24,24.59,223.50782051282053
YAMBA-PILOT-STATION,-29.43,153.36,24.82,211.00641025641022
ADELAIDE-KENT-TOWN,-34.92,138.62,23.37,216.00115384615384
ALBANY-AIRPORT-COMPARISON,-34.94,117.8,20.92,204.08487179487182
ALICE-SPRINGS-AIRPORT,-23.8,133.89,30.1,266.0256410256411
AMBERLEY-AMO,-27.63,152.71,28.44,219.59115384615384
BARCALDINE-POST-OFFICE,-23.55,145.29,31.92,256.9039743589743
BATHURST-AGRICULTURAL-STATION,-33.43,149.56,21.44,210.15679487179492
BIRDSVILLE-AIRPORT,-25.9,139.35,32.44,264.346282051282
BOULIA-AIRPORT,-22.91,139.9,33.78,271.0491025641026
BOURKE-AIRPORT-AWS,-30.04,145.95,29.2,240.50217948717938
BRIDGETOWN-COMPARISON,-33.96,116.14,23.65,217.25179487179483
BRISBANE-AERO,-27.39,153.12,26.49,215.48448717948725
BROOME-AIRPORT,-17.95,122.23,33.03,263.2
BUNDABERG-AERO,-24.91,152.32,27.8,230.59320512820517
BURKETOWN-AIRPORT,-17.75,139.54,34.25,248.6629487179487
BUTLERS-GORGE,-42.28,146.28,14.18,160.02961538461548
CABRAMURRA-SMHEA-AWS,-35.94,148.38,12.89,204.5866666666667
CAIRNS-AERO,-16.87,145.75,30.26,227.01217948717954
CAMOOWEAL-TOWNSHIP,-19.92,138.12,34.63,263.06576923076926
CANBERRA-AIRPORT,-35.31,149.2,21.63,199.95948717948724
CAPE-BORDA,-35.75,136.6,19.41,197.25051282051285
CAPE-BRUNY-LIGHTHOUSE,-43.49,147.15,16.25,160.00500000000005
CAPE-LEEUWIN,-34.37,115.14,20.67,203.24038461538467
CAPE-MORETON-LIGHTHOUSE,-27.03,153.47,25.03,215.48448717948725
CAPE-OTWAY-LIGHTHOUSE,-38.86,143.51,17.64,179.97923076923078
CARNARVON-AIRPORT,-24.89,113.67,28.35,266.3053846153845
CEDUNA-AMO,-32.13,133.7,25.07,222.31961538461533
CHARLEVILLE-AERO,-26.41,146.26,30.14,248.8498717948718
CHARTERS-TOWERS-AIRPORT,-20.05,146.27,31.23,252.9807692307692
COBAR-MO,-31.48,145.83,26.91,234.0566666666666
COFFS-HARBOUR-MO,-30.31,153.12,24.73,206.5312820512821
